,momWinsZScore,Weight,Momentum Weight,Std Momentum Weight
NTPC,3.5992738109765545,1.56,5.6148671451234256,0.07922118428831033
LT,3.1134179989202906,4.39,13.667905015260075,0.19284296387839783
HEROMOTOCO,2.669234072212955,0.57,1.5214634211613842,0.021466604811911292
BAJAJ-AUTO,2.6166985127367806,0.81,2.1195257953167923,0.029904775891349804
COALINDIA,2.3421443374230213,0.9,2.107929903680719,0.02974116734202082
SUNPHARMA,2.242791916951292,1.43,3.207192441240348,0.04525086290888409
CIPLA,2.236593459293241,0.69,1.543249486912336,0.021773988385763502
DRREDDY,2.1435643450508355,0.74,1.5862376153376183,0.022380515727580774
BHARTIARTL,1.8661855933491163,2.75,5.13201038171007,0.07240847017584033
TATAMOTORS,1.8615563513053646,1.45,2.6992567093927784,0.03808430505822108
TITAN,1.6679494238624437,1.61,2.6853985724185345,0.0378887780769491
TATACONSUM,1.5737571804362662,0.69,1.0858924545010236,0.015321054627272079
M&M,1.5692635173755205,1.63,2.5578995333220984,0.03608987088791369
HCLTECH,1.4724610499926638,1.63,2.400111511488042,0.03386361091895605
SBILIFE,1.4497686530606169,0.68,0.9858426840812196,0.013909434174717952
ONGC,1.4427405097296848,0.84,1.2119020281729351,0.0170989466770642
BPCL,1.438353827787172,0.45,0.6472592225042274,0.009132298382669693
HDFCLIFE,1.3953443317569414,0.72,1.0046479188649977,0.014174760660970528
HINDALCO,1.3124440074838102,0.95,1.2468218071096195,0.017591636204874805
GRASIM,1.2870662928110082,0.83,1.0682650230331368,0.015072345982747896
NESTLEIND,1.2466488627418477,1.0,1.2466488627418477,0.01758919610125761
APOLLOHOSP,1.1167868100655367,0.6,0.670072086039322,0.009454169233670581
MARUTI,1.1111785507659622,1.43,1.5889853275953258,0.022419283700804885
AXISBANK,1.1059637528920911,3.22,3.561203284312534,0.050245666439264904
LTIM,1.06014715933189,0.61,0.646689767192453,0.009124263833849207
INDUSINDBK,0.9453084851260151,1.11,1.0492924184898769,0.014804658046042888
INFY,0.9360749043221632,5.8,5.429234445068547,0.07660205867751889
ULTRACEMCO,0.9041530549528815,1.28,1.1573159103396884,0.01632878118807185
JSWSTEEL,0.8861923696486325,0.88,0.7798492852907966,0.011003035753176531
TECHM,0.777213542395623,0.84,0.6528593756123233,0.009211311963926827
